Yamaha	PLG100-DX	DX-XG/A	000 001 FrtePno1	
Yamaha	PLG100-DX	DX-XG/A	064 001 FrtePno2	
Yamaha	PLG100-DX	DX-XG/A	065 001 MM-Pno 1	
Yamaha	PLG100-DX	DX-XG/A	066 001 Digi Pno	
Yamaha	PLG100-DX	DX-XG/A	096 001 MM-Pno 2	
Yamaha	PLG100-DX	DX-XG/A	097 001 Dark Pno	
Yamaha	PLG100-DX	DX-XG/A	098 001 Pno+Flt	
Yamaha	PLG100-DX	DX-XG/A	000 002 BritPno1	
Yamaha	PLG100-DX	DX-XG/A	064 002 BritPno2	
Yamaha	PLG100-DX	DX-XG/A	065 002 BritPno3	
Yamaha	PLG100-DX	DX-XG/A	066 002 5th Pno1	
Yamaha	PLG100-DX	DX-XG/A	096 002 PowerPno	
Yamaha	PLG100-DX	DX-XG/A	097 002 5th Pno2	
Yamaha	PLG100-DX	DX-XG/A	000 003 DXCP-70	
Yamaha	PLG100-DX	DX-XG/A	064 003 El.Gnd 1	
Yamaha	PLG100-DX	DX-XG/A	065 003 El.Gnd 2	
Yamaha	PLG100-DX	DX-XG/A	066 003 El.Gnd 3	
Yamaha	PLG100-DX	DX-XG/A	067 003 MM-EGnd1	
Yamaha	PLG100-DX	DX-XG/A	068 003 MM-EGnd2	
Yamaha	PLG100-DX	DX-XG/A	069 003 DigiPoly	
Yamaha	PLG100-DX	DX-XG/A	070 003 Mark III	
Yamaha	PLG100-DX	DX-XG/A	071 003 RatioDob	
Yamaha	PLG100-DX	DX-XG/A	096 003 El.Gnd 4	
Yamaha	PLG100-DX	DX-XG/A	000 004 DX-Rgtim	
Yamaha	PLG100-DX	DX-XG/A	064 004 ToyPno 1	
Yamaha	PLG100-DX	DX-XG/A	065 004 ToyPno 2	
Yamaha	PLG100-DX	DX-XG/A	066 004 ToyPno 3	
Yamaha	PLG100-DX	DX-XG/A	067 004 ToyPno 4	
Yamaha	PLG100-DX	DX-XG/A	068 004 PrprdPno	
Yamaha	PLG100-DX	DX-XG/A	069 004 Bell Pno	
Yamaha	PLG100-DX	DX-XG/A	070 004 Andrian	
Yamaha	PLG100-DX	DX-XG/A	071 004 SftEPno1	
Yamaha	PLG100-DX	DX-XG/A	072 004 SftEPno2	
Yamaha	PLG100-DX	DX-XG/A	073 004 GlockPno	
Yamaha	PLG100-DX	DX-XG/A	000 005 DX-Road1	
Yamaha	PLG100-DX	DX-XG/A	064 005 BigWurlt	
Yamaha	PLG100-DX	DX-XG/A	065 005 WurliEP1	
Yamaha	PLG100-DX	DX-XG/A	066 005 EP 1980	
Yamaha	PLG100-DX	DX-XG/A	067 005 DX-Road2	
Yamaha	PLG100-DX	DX-XG/A	068 005 DX-Road3	
Yamaha	PLG100-DX	DX-XG/A	069 005 Old Jazz	
Yamaha	PLG100-DX	DX-XG/A	070 005 Knock EP	
Yamaha	PLG100-DX	DX-XG/A	071 005 EP 1970	
Yamaha	PLG100-DX	DX-XG/A	072 005 DX-Road4	
Yamaha	PLG100-DX	DX-XG/A	073 005 PrcEPno1	
Yamaha	PLG100-DX	DX-XG/A	074 005 ModEPno1	
Yamaha	PLG100-DX	DX-XG/A	096 005 Soft EP1	
Yamaha	PLG100-DX	DX-XG/A	097 005 Hard EP1	
Yamaha	PLG100-DX	DX-XG/A	098 005 Hard EP2	
Yamaha	PLG100-DX	DX-XG/A	099 005 Hard EP3	
Yamaha	PLG100-DX	DX-XG/A	100 005 Hard EP4	
Yamaha	PLG100-DX	DX-XG/A	101 005 CosaRosa	
Yamaha	PLG100-DX	DX-XG/A	102 005 EP 1985	
Yamaha	PLG100-DX	DX-XG/A	103 005 Det.EP1	
Yamaha	PLG100-DX	DX-XG/A	104 005 Det.EP 2	
Yamaha	PLG100-DX	DX-XG/A	105 005 Det.EP 3	
Yamaha	PLG100-DX	DX-XG/A	000 006 E.Pno 1	
Yamaha	PLG100-DX	DX-XG/A	064 006 ClrE.Pno	
Yamaha	PLG100-DX	DX-XG/A	065 006 E.Pno 2	
Yamaha	PLG100-DX	DX-XG/A	066 006 Urban	
Yamaha	PLG100-DX	DX-XG/A	067 006 E.Pno 3	
Yamaha	PLG100-DX	DX-XG/A	068 006 Vics EP	
Yamaha	PLG100-DX	DX-XG/A	069 006 E.Pno 4	
Yamaha	PLG100-DX	DX-XG/A	070 006 E.Pno 5	
Yamaha	PLG100-DX	DX-XG/A	071 006 FulTine1	
Yamaha	PLG100-DX	DX-XG/A	072 006 Duke EP	
Yamaha	PLG100-DX	DX-XG/A	073 006 E.Pno 6	
Yamaha	PLG100-DX	DX-XG/A	074 006 E.Pno 7	
Yamaha	PLG100-DX	DX-XG/A	075 006 FulTine2	
Yamaha	PLG100-DX	DX-XG/A	076 006 E.Pno 8	
Yamaha	PLG100-DX	DX-XG/A	077 006 E.Pno 9	
Yamaha	PLG100-DX	DX-XG/A	078 006 E.Pno10	
Yamaha	PLG100-DX	DX-XG/A	096 006 DynoRoad	
Yamaha	PLG100-DX	DX-XG/A	097 006 Prds Pno	
Yamaha	PLG100-DX	DX-XG/A	098 006 Brit EP	
Yamaha	PLG100-DX	DX-XG/A	099 006 Det.EP4	
Yamaha	PLG100-DX	DX-XG/A	100 006 Det.EP5	
Yamaha	PLG100-DX	DX-XG/A	101 006 Det.EP6	
Yamaha	PLG100-DX	DX-XG/A	102 006 Det.EP 7	
Yamaha	PLG100-DX	DX-XG/A	103 006 Det.EP8	
Yamaha	PLG100-DX	DX-XG/A	104 006 Det.EP 9	
Yamaha	PLG100-DX	DX-XG/A	105 006 Det.EP10	
Yamaha	PLG100-DX	DX-XG/A	000 007 Harpsi 1	
Yamaha	PLG100-DX	DX-XG/A	064 007 Cembalim	
Yamaha	PLG100-DX	DX-XG/A	065 007 AD1600s1	
Yamaha	PLG100-DX	DX-XG/A	066 007 AD1600s2	
Yamaha	PLG100-DX	DX-XG/A	067 007 Harpsi 2	
Yamaha	PLG100-DX	DX-XG/A	068 007 Harpsi 3	
Yamaha	PLG100-DX	DX-XG/A	069 007 Harpsi 4	
Yamaha	PLG100-DX	DX-XG/A	070 007 Caffeine	
Yamaha	PLG100-DX	DX-XG/A	071 007 HarpsiWr	
Yamaha	PLG100-DX	DX-XG/A	072 007 Harpsi 5	
Yamaha	PLG100-DX	DX-XG/A	096 007 Harpsi 6	
Yamaha	PLG100-DX	DX-XG/A	097 007 Harpsi 7	
Yamaha	PLG100-DX	DX-XG/A	098 007 Harpsi 8	
Yamaha	PLG100-DX	DX-XG/A	099 007 Harpsi 9	
Yamaha	PLG100-DX	DX-XG/A	100 007 AD1900s1	
Yamaha	PLG100-DX	DX-XG/A	000 008 MM-Clav1	
Yamaha	PLG100-DX	DX-XG/A	064 008 MM-Clav2	
Yamaha	PLG100-DX	DX-XG/A	065 008 SkltnClv	
Yamaha	PLG100-DX	DX-XG/A	066 008 ClavStf1	
Yamaha	PLG100-DX	DX-XG/A	067 008 Revinett	
Yamaha	PLG100-DX	DX-XG/A	068 008 Clavecn1	
Yamaha	PLG100-DX	DX-XG/A	069 008 E.P/Clav	
Yamaha	PLG100-DX	DX-XG/A	070 008 DX-Clv 1	
Yamaha	PLG100-DX	DX-XG/A	071 008 ClavComp	
Yamaha	PLG100-DX	DX-XG/A	072 008 DX-Clv 2	
Yamaha	PLG100-DX	DX-XG/A	073 008 DX-Clv 3	
Yamaha	PLG100-DX	DX-XG/A	074 008 ClavExcl	
Yamaha	PLG100-DX	DX-XG/A	075 008 BritClv1	
Yamaha	PLG100-DX	DX-XG/A	076 008 BritClv2	
Yamaha	PLG100-DX	DX-XG/A	077 008 DX-Clv 4	
Yamaha	PLG100-DX	DX-XG/A	078 008 DX-Clv 5	
Yamaha	PLG100-DX	DX-XG/A	096 008 MM-Clav3	
Yamaha	PLG100-DX	DX-XG/A	097 008 DX-Clv 6	
Yamaha	PLG100-DX	DX-XG/A	098 008 DX-Clv 7	
Yamaha	PLG100-DX	DX-XG/A	099 008 MuteClav	
Yamaha	PLG100-DX	DX-XG/A	100 008 ChrsClav	
Yamaha	PLG100-DX	DX-XG/A	101 008 BasoClav	
Yamaha	PLG100-DX	DX-XG/A	102 008 Det.Clav	
Yamaha	PLG100-DX	DX-XG/A	000 009 Celesta1	
Yamaha	PLG100-DX	DX-XG/A	064 009 Celesta2	
Yamaha	PLG100-DX	DX-XG/A	065 009 Celesta3	
