E-MU Systems	Proteus/1	Bank 0	000 Stereo Piano	
E-MU Systems	Proteus/1	Bank 0	001 Hall Strings	
E-MU Systems	Proteus/1	Bank 0	002 InChoirIrie	
E-MU Systems	Proteus/1	Bank 0	003 BigCityBrass	
E-MU Systems	Proteus/1	Bank 0	004 Stereo Sax	
E-MU Systems	Proteus/1	Bank 0	005 Acoustic Gtr	
E-MU Systems	Proteus/1	Bank 0	006 Modern Gtr	
E-MU Systems	Proteus/1	Bank 0	007 Thunder Bass	
E-MU Systems	Proteus/1	Bank 0	008 MiniMoogBass	
E-MU Systems	Proteus/1	Bank 0	009 B3 Mod->Leslie	
E-MU Systems	Proteus/1	Bank 0	010 Phantazia	
E-MU Systems	Proteus/1	Bank 0	011 ZoundTrax	
E-MU Systems	Proteus/1	Bank 0	012 Vibe n Me	
E-MU Systems	Proteus/1	Bank 0	013 Tiki Threat	
E-MU Systems	Proteus/1	Bank 0	014 Rock Drums 1	
E-MU Systems	Proteus/1	Bank 0	015 Metal Vapor	
E-MU Systems	Proteus/1	Bank 0	016 Heaven	
E-MU Systems	Proteus/1	Bank 0	017 Verb Flute	
E-MU Systems	Proteus/1	Bank 0	018 El. Piano	
E-MU Systems	Proteus/1	Bank 0	019 F. Horn Sect	
E-MU Systems	Proteus/1	Bank 0	020 Velocity Falls	
E-MU Systems	Proteus/1	Bank 0	021 Stereo Mutes	
E-MU Systems	Proteus/1	Bank 0	022 StoneBs&Hrms	
E-MU Systems	Proteus/1	Bank 0	023 Slap/Pop Bass	
E-MU Systems	Proteus/1	Bank 0	024 Rap Bass	
E-MU Systems	Proteus/1	Bank 0	025 Special FX 1	
E-MU Systems	Proteus/1	Bank 0	026 Harmonic Syn	
E-MU Systems	Proteus/1	Bank 0	027 Beyond FM	
E-MU Systems	Proteus/1	Bank 0	028 Kyoto Forest	
E-MU Systems	Proteus/1	Bank 0	029 Balinesia	
E-MU Systems	Proteus/1	Bank 0	030 Latin Drums	
E-MU Systems	Proteus/1	Bank 0	031 Wind Chimes	
E-MU Systems	Proteus/1	Bank 0	032 Harpsikord	
E-MU Systems	Proteus/1	Bank 0	033 String Orch.	
E-MU Systems	Proteus/1	Bank 0	034 Human Voices	
E-MU Systems	Proteus/1	Bank 0	035 Baritone Sax	
E-MU Systems	Proteus/1	Bank 0	036 Solo Trumpet	
E-MU Systems	Proteus/1	Bank 0	037 12 String	
E-MU Systems	Proteus/1	Bank 0	038 Modern Harp	
E-MU Systems	Proteus/1	Bank 0	039 Str.Bs/Piano	
E-MU Systems	Proteus/1	Bank 0	040 Mythical Pad	
E-MU Systems	Proteus/1	Bank 0	041 PianoBell	
E-MU Systems	Proteus/1	Bank 0	042 Noh Way!	
E-MU Systems	Proteus/1	Bank 0	043 Empyrean	
E-MU Systems	Proteus/1	Bank 0	044 Glocken	
E-MU Systems	Proteus/1	Bank 0	045 Wide Marimba	
E-MU Systems	Proteus/1	Bank 0	046 Latin Perc.	
E-MU Systems	Proteus/1	Bank 0	047 Space Bk.Gtr	
E-MU Systems	Proteus/1	Bank 0	048 Grand Piano	
E-MU Systems	Proteus/1	Bank 0	049 FlangeString	
E-MU Systems	Proteus/1	Bank 0	050 White Veil	
E-MU Systems	Proteus/1	Bank 0	051 Dark World	
E-MU Systems	Proteus/1	Bank 0	052 Miles Solos	
E-MU Systems	Proteus/1	Bank 0	053 SoloTrombone	
E-MU Systems	Proteus/1	Bank 0	054 XprsivEl.Gtr	
E-MU Systems	Proteus/1	Bank 0	055 SpaceBassPad	
E-MU Systems	Proteus/1	Bank 0	056 Dune	
E-MU Systems	Proteus/1	Bank 0	057 RB's Wine	
E-MU Systems	Proteus/1	Bank 0	058 Octave Choir	
E-MU Systems	Proteus/1	Bank 0	059 Gitano	
E-MU Systems	Proteus/1	Bank 0	060 ThaiBathHse.	
E-MU Systems	Proteus/1	Bank 0	061 MedicineDrum	
E-MU Systems	Proteus/1	Bank 0	062 Radical Drum	
E-MU Systems	Proteus/1	Bank 0	063 Mtlphn Arp 9	
E-MU Systems	Proteus/1	Bank 1	064 FMstylePiano	
E-MU Systems	Proteus/1	Bank 1	065 Isham Strngs	
E-MU Systems	Proteus/1	Bank 1	066 WeAteFlangrs	
E-MU Systems	Proteus/1	Bank 1	067 SpaceClavier	
E-MU Systems	Proteus/1	Bank 1	068 Hard Trmp Am	
E-MU Systems	Proteus/1	Bank 1	069 Ball Game	
E-MU Systems	Proteus/1	Bank 1	070 Clean Strat	
E-MU Systems	Proteus/1	Bank 1	071 NozeBass/Pad	
E-MU Systems	Proteus/1	Bank 1	072 Wide Neck	
E-MU Systems	Proteus/1	Bank 1	073 Space Horn	
E-MU Systems	Proteus/1	Bank 1	074 Blue Ice	
E-MU Systems	Proteus/1	Bank 1	075 EmberedTines	
E-MU Systems	Proteus/1	Bank 1	076 Odd Vibes	
E-MU Systems	Proteus/1	Bank 1	077 Bright Steel	
E-MU Systems	Proteus/1	Bank 1	078 Native Power	
E-MU Systems	Proteus/1	Bank 1	079 Insects	
E-MU Systems	Proteus/1	Bank 1	080 VibrantPiano	
E-MU Systems	Proteus/1	Bank 1	081 Emperor	
E-MU Systems	Proteus/1	Bank 1	082 NoiseFree LA	
E-MU Systems	Proteus/1	Bank 1	083 Orch. Brass	
E-MU Systems	Proteus/1	Bank 1	084 Lo Oct Bones	
E-MU Systems	Proteus/1	Bank 1	085 Synthibell	
E-MU Systems	Proteus/1	Bank 1	086 SpaceSteel	
E-MU Systems	Proteus/1	Bank 1	087 Jet **	
E-MU Systems	Proteus/1	Bank 1	088 Jet  **	
E-MU Systems	Proteus/1	Bank 1	089 SquarishLead	
E-MU Systems	Proteus/1	Bank 1	090 Synth String	
E-MU Systems	Proteus/1	Bank 1	091 Space Trmpt	
E-MU Systems	Proteus/1	Bank 1	092 Metal Throat	
E-MU Systems	Proteus/1	Bank 1	093 Light Mallet	
E-MU Systems	Proteus/1	Bank 1	094 Congablock	
E-MU Systems	Proteus/1	Bank 1	095 Hold&Sample	
E-MU Systems	Proteus/1	Bank 1	096 Piano Drama	
E-MU Systems	Proteus/1	Bank 1	097 Punctuate	
E-MU Systems	Proteus/1	Bank 1	098 Lunar Window	
E-MU Systems	Proteus/1	Bank 1	099 Reedy Keys	
E-MU Systems	Proteus/1	Bank 1	100 String Swell	
E-MU Systems	Proteus/1	Bank 1	101 Jingle Pad	
E-MU Systems	Proteus/1	Bank 1	102 Solo Lead	
E-MU Systems	Proteus/1	Bank 1	103 Buzzy Frets	
E-MU Systems	Proteus/1	Bank 1	104 Bass & Synth	
E-MU Systems	Proteus/1	Bank 1	105 Gillectro	
E-MU Systems	Proteus/1	Bank 1	106 Pop Pad	
E-MU Systems	Proteus/1	Bank 1	107 BanJovi	
E-MU Systems	Proteus/1	Bank 1	108 Malletumba	
E-MU Systems	Proteus/1	Bank 1	109 SlipperyBass	
E-MU Systems	Proteus/1	Bank 1	110 Hall2 Strgs**	
E-MU Systems	Proteus/1	Bank 1	111 Hall2Link **	
E-MU Systems	Proteus/1	Bank 1	112 WinstonGrand	
E-MU Systems	Proteus/1	Bank 1	113 STRings	
E-MU Systems	Proteus/1	Bank 1	114 Sharp Edge	
E-MU Systems	Proteus/1	Bank 1	115 Uboe	
E-MU Systems	Proteus/1	Bank 1	116 Vibes/Choir	
E-MU Systems	Proteus/1	Bank 1	117 Solo Synth 3	
E-MU Systems	Proteus/1	Bank 1	118 Rock Gitaro	
E-MU Systems	Proteus/1	Bank 1	119 Animal 1 **	
E-MU Systems	Proteus/1	Bank 1	120 Animal **	
E-MU Systems	Proteus/1	Bank 1	121 Bed Tine	
E-MU Systems	Proteus/1	Bank 1	122 Mr Minister	
E-MU Systems	Proteus/1	Bank 1	123 Bone Face	
E-MU Systems	Proteus/1	Bank 1	124 Tremolo Vibe	
E-MU Systems	Proteus/1	Bank 1	125 Dulcimer	
E-MU Systems	Proteus/1	Bank 1	126 Block Head	
E-MU Systems	Proteus/1	Bank 1	127 BarberPole	
E-MU Systems	Proteus/1	Bank 2	128 Piano&Synth	
E-MU Systems	Proteus/1	Bank 2	129 StrngChamber	
E-MU Systems	Proteus/1	Bank 2	130 BreathyFlute	
E-MU Systems	Proteus/1	Bank 2	131 TrumpetCombo	
E-MU Systems	Proteus/1	Bank 2	132 NewOrchestra	
E-MU Systems	Proteus/1	Bank 2	133 SterAcoustic	
E-MU Systems	Proteus/1	Bank 2	134 Shamisen	
E-MU Systems	Proteus/1	Bank 2	135 StoneSlapBs.	
E-MU Systems	Proteus/1	Bank 2	136 RockAttitude	
E-MU Systems	Proteus/1	Bank 2	137 TocattaSeven	
E-MU Systems	Proteus/1	Bank 2	138 Pop Art	
E-MU Systems	Proteus/1	Bank 2	139 Mini Solo	
E-MU Systems	Proteus/1	Bank 2	140 Airimba	
E-MU Systems	Proteus/1	Bank 2	141 Steel Drums	
E-MU Systems	Proteus/1	Bank 2	142 Modern Drums	
E-MU Systems	Proteus/1	Bank 2	143 SpaceTexture	
E-MU Systems	Proteus/1	Bank 2	144 Saloon Piano	
E-MU Systems	Proteus/1	Bank 2	145 CrystalChoir	
E-MU Systems	Proteus/1	Bank 2	146 HerbalVerbal	
E-MU Systems	Proteus/1	Bank 2	147 SectionFalls	
E-MU Systems	Proteus/1	Bank 2	148 SectionHorns	
E-MU Systems	Proteus/1	Bank 2	149 Hollow Solo	
E-MU Systems	Proteus/1	Bank 2	150 Fat Boy Bass	
E-MU Systems	Proteus/1	Bank 2	151 OrchestraHit	
E-MU Systems	Proteus/1	Bank 2	152 Keys Please	
E-MU Systems	Proteus/1	Bank 2	153 Metal Toys	
E-MU Systems	Proteus/1	Bank 2	154 Weather	
E-MU Systems	Proteus/1	Bank 2	155 Crazy Man	
E-MU Systems	Proteus/1	Bank 2	156 Clock Chimes	
E-MU Systems	Proteus/1	Bank 2	157 Vibe&Marimba	
E-MU Systems	Proteus/1	Bank 2	158 SterSlapDrum	
E-MU Systems	Proteus/1	Bank 2	159 Flying Modul	
E-MU Systems	Proteus/1	Bank 2	160 Low Grand	
E-MU Systems	Proteus/1	Bank 2	161 Bright Piano	
E-MU Systems	Proteus/1	Bank 2	162 XprsivString	
E-MU Systems	Proteus/1	Bank 2	163 String V>Atk	
E-MU Systems	Proteus/1	Bank 2	164 Choir	
E-MU Systems	Proteus/1	Bank 2	165 Dark Choir	
E-MU Systems	Proteus/1	Bank 2	166 SopranoReed	
E-MU Systems	Proteus/1	Bank 2	167 Alto Sax	
