Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Acoustic bass	Acoustic Bass	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Acoustic bass	Acoustic Bass FX	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Acoustic bass	Acoustic Bass M	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Acoustic bass	Acoustic Bass S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Acoustic bass	Acoustic Bass XS	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Ghost	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Harmonics	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Harmonics S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Long	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Long S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Long XS	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Slides Fast	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fingered E-Bass	Fingered Slides Slow	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless [Chorus]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Ghost	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Long	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Long [CHO]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Long S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Long S [CHO]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Slides	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Slides-Back	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Vibrato	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Fretless E-Bass	Fretless Vibrato [CHO]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Pads	Pad 1	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Pads	Pad 1 [EQ]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Pads	Pad 1 S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Pads	Pad 2	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Pads	Pad 2 [EQ]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Slap E-Bass	Slap	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Slap E-Bass	Slap Ghost	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Slap E-Bass	Slap Long	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Slap E-Bass	Slap Long S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Slap E-Bass	Slap Long XS	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Slap E-Bass	Slap Slides	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 1	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 1 [Lowfi]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 1 S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 1 S [Lowfi]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 2	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 2 [EFX]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 2 S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 2 S [EFX]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 3	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 3 [FLNG]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 3 S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 3 S [FLNG]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 4	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 4 [Delay]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 4 S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Bass -> Synth basses	Synth Bass 4 S [Delay]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> 12-String Guitar	12-String Chords	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> 12-String Guitar	12-String Chords [REV]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> 12-String Guitar	12-String Guit S	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> 12-String Guitar	12-String Guit S [REV]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> 12-String Guitar	12-String Guitar	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> 12-String Guitar	12-String Guitar [REV]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar [Chorus]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar [Flange]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar FX	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar M	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar M [CHO]	
Native Instruments	Kontakt 1 Library	Acoustic & Electric Guitar -> Clean E-Guitar	Clean E-Guitar M [FLNG]	
